sku,name,description,price_usd,category_id,brand_id,image_url,stock_qty,is_latest_SKU_for_product
DSP-001,LumenWorks 27-inch 4K Monitor,27-inch IPS 4K monitor,499.00,11,4,https://cdn.neoncart.local/img/dsp-001.jpg,42,
DSP-002,LumenWorks 32-inch 4K Monitor,32-inch IPS 4K monitor,699.00,11,4,https://cdn.neoncart.local/img/dsp-002.jpg,28,
DSP-003,LumenWorks 32-inch OLED Monitor,OLED 4K creator monitor,1299.00,11,4,https://cdn.neoncart.local/img/dsp-003.jpg,11,
DSP-004,LumenWorks 49-inch Ultrawide,5K ultrawide monitor,1499.00,11,4,https://cdn.neoncart.local/img/dsp-004.jpg,7,
STG-001,Quantix Q-SSD 1TB NVMe,Gen4 NVMe SSD 1TB,129.00,12,7,https://cdn.neoncart.local/img/stg-001.jpg,178,
STG-002,Quantix Q-SSD 2TB NVMe,Gen4 NVMe SSD 2TB,229.00,12,7,https://cdn.neoncart.local/img/stg-002.jpg,98,
STG-003,Quantix Q-SSD 4TB NVMe,Gen4 NVMe SSD 4TB,429.00,12,7,https://cdn.neoncart.local/img/stg-003.jpg,42,
STG-004,Quantix Q-SSD 8TB NVMe,Gen4 NVMe SSD 8TB,849.00,12,7,https://cdn.neoncart.local/img/stg-004.jpg,18,
PER-005-KBD,Synthlex Split Keyboard,Ergonomic split mechanical,179.00,3,6,https://cdn.neoncart.local/img/per-005-kbd.jpg,18,
PER-006-KBD,Korium Edge Keyboard,Low-profile aluminium keyboard,149.00,3,9,https://cdn.neoncart.local/img/per-006-kbd.jpg,33,
